Image_Name,Total_Characters,Text_Boxes,Extracted_Text
19.png,9,6,와 아 아 야 교해교 와하
20.png,5,2,카입_ 라입
41.png,5,1,Nolol
15.png,4,4,위 이 이 임
30.png,4,3,V 얘 HY
46.png,4,2,대} 떼데
9.png,4,2,저녁 저녁
2.png,3,1,Koo
18.png,3,2,국 다업
14.png,3,3,팬 @ @
27.png,3,2,U V스
28.png,3,2,2' 동
26.png,3,2,U) 7
6.png,3,2,썩 폐어
8.png,3,2,퍽) @
22.png,2,1,사아
17.png,2,2,부 응
1.png,2,1,가!
12.png,2,2,문 통
3.png,2,1,1X
48.png,2,2,O %
7.png,2,2,뼈 퍽
4.png,2,1,뼈질
35.png,2,1,(/
21.png,2,2,멘 왕
10.png,1,1,뭐
43.png,1,1,팀
50.png,1,1,각
49.png,1,1,@
16.png,1,1,와
13.png,1,1,과
11.png,1,1,파
38.png,1,2,유 
32.png,1,1,0
34.png,1,1,초
37.png,1,1,N
39.png,1,1,8
5.png,1,1,사
44.png,1,1,벼
25.png,0,0,
23.png,0,0,
24.png,0,0,
33.png,0,0,
36.png,0,0,
29.png,0,0,
31.png,0,0,
47.png,0,0,
45.png,0,0,
40.png,0,0,
42.png,0,0,
